domain	phylum	class	order	family	genus
otu232	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1 clade	OM1 clade_unclassified
otu233	Bacteria	Bacteroidetes	Cytophagia	Order II	Rhodothermaceae	Rhodothermaceae_unclassified
otu234	Bacteria	Proteobacteria	Proteobacteria Incertae Sedis	Proteobacteria Incertae Sedis	Proteobacteria Incertae Sedis	Candidatus Thiobios
otu236	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Sva0081 sediment group
otu238	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Saprospiraceae_unclassified
otu239	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbaceae_unclassified
otu241	Bacteria	Proteobacteria	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus
otu242	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfarculaceae_unclassified
otu243	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillaceae_unclassified
otu244	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255 marine benthic group	JTB255 marine benthic group_unclassified
otu245	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacterales Incertae Sedis	Caldithrix
otu246	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8 marine group	BD7-8 marine group_unclassified	BD7-8 marine group_unclassified
otu247	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255 marine benthic group	JTB255 marine benthic group_unclassified
otu248	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillaceae_unclassified
otu249	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus
otu250	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadetes Incertae Sedis	PAUC43f marine benthic group	PAUC43f marine benthic group_unclassified
otu252	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionIII	FamilyI	Oscillatoria
otu253	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadales_unclassified	Desulfuromonadales_unclassified
otu254	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Pelagibius
otu256	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324 clade(Marine group B)	SAR324 clade(Marine group B)_unclassified	SAR324 clade(Marine group B)_unclassified
otu258	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A clade	KI89A clade_unclassified	KI89A clade_unclassified
otu259	Bacteria	Proteobacteria	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified
otu260	Bacteria	Acidobacteria	Holophagae	Subgroup 10	Sva0725	Sva0725_unclassified
otu261	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilineaceae_unclassified
otu262	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacterales Incertae Sedis	Caldithrix
otu263	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Reinekea
otu264	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1 clade	OM1 clade_unclassified
otu266	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidiferrobacter
otu267	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Sva0081 sediment group
otu269	Bacteria	Bacteroidetes	BD2-2	BD2-2_unclassified	BD2-2_unclassified	BD2-2_unclassified
otu270	Bacteria	Proteobacteria	Gammaproteobacteria	Order Incertae Sedis	Family Incertae Sedis	Marinicella
otu271	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A clade	KI89A clade_unclassified	KI89A clade_unclassified
otu272	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_unclassified
