S12	S1	S2	S31	S32	S4	S56	S5	S6	SA	SB	SG	SR
otu548	5	43	0	0	0	15	0	0	0	0	0	0	0
otu549	16	44	11	0	0	37	0	3	3	0	0	1	0
otu551	0	0	0	0	0	0	0	61	0	0	0	0	0
otu553	1	46	0	0	0	2	0	0	0	0	0	0	0
otu555	41	0	0	0	0	0	0	0	0	0	17	0	0
otu556	0	0	0	0	0	0	0	2	50	0	0	0	0
otu557	0	0	0	0	0	55	0	0	0	0	0	0	0
otu558	0	0	0	0	0	0	0	53	0	0	0	0	0
otu559	5	0	1	0	1	0	23	20	24	0	51	5	0
otu562	3	0	0	0	45	12	0	0	0	0	0	0	0
otu563	1	51	1	3	0	4	0	0	0	0	0	0	0
otu564	49	0	0	0	0	10	0	0	0	0	0	0	0
otu565	0	0	44	16	1	24	0	0	0	0	0	0	0
otu566	5	0	0	0	0	0	44	2	2	0	6	0	0
otu567	29	22	0	0	0	0	0	0	0	0	0	0	0
otu568	0	0	0	53	0	0	0	0	0	0	0	0	0
otu570	26	8	0	0	0	17	0	0	0	0	0	0	0
otu571	0	0	0	43	0	0	0	0	0	0	0	0	17
otu573	0	58	0	0	1	0	0	0	0	0	0	0	0
otu574	0	0	0	0	0	0	2	49	0	0	0	0	0
otu575	8	11	7	10	1	11	0	0	0	0	0	0	0
otu576	1	0	0	0	12	0	0	40	0	0	0	3	0
otu577	0	54	0	0	0	0	0	0	0	0	0	0	0
otu578	18	13	3	17	0	0	0	0	0	0	0	0	0
otu579	29	0	9	0	12	2	0	0	0	0	0	0	0
otu581	0	0	0	2	0	0	0	0	0	0	48	0	0
otu582	0	0	1	78	5	0	0	0	0	0	3	1	0
otu583	2	0	0	0	0	0	0	58	2	0	0	0	0
otu585	5	0	0	0	40	5	0	0	0	0	0	9	0
otu586	0	0	0	53	0	0	0	0	0	0	0	0	0
otu589	0	0	0	0	0	0	52	0	1	0	0	0	0
otu591	5	26	0	21	0	1	0	0	0	0	0	0	0
otu592	33	0	0	17	0	0	0	0	0	0	0	0	0
otu593	1	11	0	35	0	1	0	0	2	0	3	0	0
otu594	0	59	0	0	0	0	0	0	0	0	0	0	0
otu597	1	0	40	0	0	0	0	0	8	0	0	0	0
otu598	0	0	0	56	0	0	0	0	0	1	0	0	0
otu599	3	32	0	16	0	0	0	0	1	0	0	0	0
otu600	0	0	0	0	0	0	0	0	0	51	0	0	0
otu602	1	0	0	0	33	15	0	0	0	0	0	11	0
otu603	0	0	0	0	0	0	0	0	0	0	0	0	45
otu604	0	0	0	0	0	0	25	28	6	0	0	1	0
otu605	1	25	4	4	2	14	0	1	1	0	1	0	0
otu606	0	0	3	8	1	24	0	0	0	0	0	13	0
otu608	3	9	0	19	2	15	0	0	0	0	0	0	0
otu609	13	0	0	17	8	2	0	0	0	0	1	0	0
otu612	1	17	0	0	13	18	0	0	0	0	0	0	0
otu616	13	4	3	31	8	7	0	1	1	0	0	0	0
otu617	4	37	0	0	0	2	0	0	0	0	0	0	0
otu619	3	0	0	0	0	0	29	16	4	0	1	3	0
otu620	46	4	0	0	0	0	0	0	0	0	0	0	0
otu621	1	17	0	0	0	22	0	0	0	9	2	0	0
otu622	2	0	0	0	4	0	23	10	11	0	0	8	0
otu623	20	0	1	0	0	0	0	0	0	36	0	0	0
otu624	23	0	4	10	5	10	0	0	0	0	0	0	0
otu626	1	0	1	0	50	0	0	0	0	0	0	2	0
otu627	9	42	0	0	0	0	0	0	0	0	0	0	0
otu631	10	17	0	21	0	0	0	0	0	0	5	0	0
otu632	11	0	0	0	33	2	0	0	0	0	0	0	0
otu635	0	0	0	0	54	1	0	0	0	0	0	0	0
