domain	phylum	class	order	family	genus
otu214	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)_unclassified
otu215	Archaea	Thaumarchaeota	Marine Group I	Cenarchaeales	Cenarchaeaceae	Cenarchaeum
otu217	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)_unclassified
otu218	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)_unclassified
otu219	Archaea	Euryarchaeota	Thermoplasmata	Marine Benthic Group E	Marine Benthic Group E_unclassified	Marine Benthic Group E_unclassified
otu220	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)_unclassified
otu221	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)_unclassified
otu223	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Marine Hydrothermal Vent Group(MHVG)	Marine Hydrothermal Vent Group(MHVG)_unclassified
otu224	Archaea	Thaumarchaeota	Marine Group I	Marine Group I_unclassified	Marine Group I_unclassified	Marine Group I_unclassified
otu225	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)	Deep Sea Hydrothermal Vent Gp 6(DHVEG-6)_unclassified
otu226	Archaea	Thaumarchaeota	Marine Benthic Group B	Marine Benthic Group B_unclassified	Marine Benthic Group B_unclassified	Marine Benthic Group B_unclassified
otu229	Archaea	Thaumarchaeota	Marine Group I	Marine Group I_unclassified	Marine Group I_unclassified	Marine Group I_unclassified
otu230	Archaea	Thaumarchaeota	Miscellaneous Crenarchaeotic Group	Miscellaneous Crenarchaeotic Group_unclassified	Miscellaneous Crenarchaeotic Group_unclassified	Miscellaneous Crenarchaeotic Group_unclassified
